9759091062				Xtreme Brite  Brightening gel is a highly concentrated gel that helps to obtain a clearer and brighter complexion. It helps remove blackheads and cosmetic acne.
B000052YJD				One Facial SpongeFor daily cleansing of sensitive skin.Thoroughly cleans and refreshes your skin.Use every day with your favorite cleanser.&nbsp;Perfect Prep for Sunless Tanning!Leaves skin feeling clean and refreshed!Use every day with your favorite soap or cleanser.Lifts off dry, dulling skin cells.Gently cleanses away makeup, dirt and excess oil.Leaves skin smooth and soft, perfectly prepped for moisturizers, makeup and sunless tanning.Dermatology-tested for gentleness.Choose the sponge that makes your face look and feel its best:&nbsp;Extra GentleGentleRegularDelicate, Sensitive SkinX&nbsp;&nbsp;Normal to Dry SkinXX&nbsp;Normal to Oily Skin&nbsp;XXDaily Cleansing with Mild ExfoliationXX&nbsp;Daily Cleansing with Deep Exfoliation&nbsp;XXMade in USA
B000052YMX				Dermatologist recommended ; CONTAINS PHOSPHOLIPIDS: which restore and maintain natural moisture balance in dry, sensitive skin, COMPLEX 15 Therapeutic Moisturizing Face Cream: Formulated for mild to severe dry skin with a system modeled from nature. Contains lecithin, a phospholipid water-binding agent found naturally in the skin. Nongreasy and absorbs quickly into the skin. Unscented, contains no parabens, lanolin or mineral oil. Proven to be hypoallergenic, noncomedogenic, and fragrance-free.
B000052ZTY				Introduced in 1995. Fragrance notes: woods, fresh citrus and spicy leaves. Recommended use: daytime.When&#xA0;applying&#xA0;any fragrance please consider that there are several factors which can affect the natural smell of your skin and, in turn, the way a scent smells on you.&#xA0; For instance, your mood, stress level, age, body chemistry,&#xA0;diet, and current medications may all alter the scents you wear.&#xA0;&#xA0;Similarly, factor such as dry or oily&#xA0;skin can even affect the amount of time a fragrance will last after being applied
B00005304H				&lt;P&gt;More Cotton At The Tip* Than Any Other Swab.&lt;/P&gt; &lt;P&gt;&lt;STRONG&gt;Q-tips&#xAE;&lt;/STRONG&gt; Cotton Swabs are made with 100% pure cotton and have more soft cotton at the tip* than any other swab.&#xA0; The firm paper stick gives gently under pressure, while a special adhesive secures the cotton to the stick.&lt;/P&gt; &lt;P&gt;Ideal for the whole family, and not just for ears.&#xA0; Apply and remove makeup or touch up a manicure.&#xA0; Gentle enough to care for newborn babies.&lt;/P&gt; &lt;P&gt;&lt;STRONG&gt;Q-tips&#xAE;&lt;/STRONG&gt; Cotton Swabs are made with 100% natural materials, unlike some other cotton swab brands, and are biodegradable when composted.&#xA0; Please support recycling in your community. &lt;/P&gt; &lt;P&gt;Q-tips Cotton Swabs are ideal if the task requires a soft touch.&#xA0; There is no softer or safer swab.&lt;/P&gt; &lt;P&gt;Handy Snap Lock Opening.&lt;/P&gt; &lt;P&gt;*From the end of the stick to the top of the swab.&lt;/P&gt; &lt;P&gt;Made in the USA&lt;/P&gt;
B0000531II				Oil control loose powder for a fresh, no shine look that lasts all day.100% oil free powder. Available in light and medium shades
B0000531NU				Up to triple the volume instantly. All-day wear. No clumps, no globs. Patented Anti-Clump Brush. Contact lens safe. Volum' Express long lasting waterproof formula builds up to triple the lash volume. Volume-Building Waterproof Formula and Patented Anti-Clump Brush quickly thicken lashes without clumps or globs for a dramatic lash look.
B000089SA4				&lt;P&gt;&lt;UL&gt; &lt;LI&gt; &lt;DIV&gt;Biodegradable&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Hypo-Allergenic&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Cruelty Free&lt;/DIV&gt;&lt;/LI&gt;&lt;/UL&gt; &lt;P&gt;&lt;STRONG&gt;Why Glycerin Soap?&lt;/STRONG&gt;&lt;BR&gt;Glycerin is a humectant which, through its hydro-scopic action, draws moisture into the skin naturally.&#xA0; It cleanses without stripping or upsetting the delicate natural pH balance necessary for soft, healthy skin.&lt;/P&gt; &lt;P&gt;Clearly Natural Glycerin Products are:&lt;/P&gt; &lt;UL&gt; &lt;LI&gt; &lt;DIV&gt;100% vegetable glycerin&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Hypo-allergenic for people with sensitive skin.&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Dermatologist recommended&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;100% natural ingredients&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Completely biodegradable&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Longer lasting with superior sudsing action&lt;/DIV&gt; &lt;LI&gt; &lt;DIV&gt;Animal-Friendly:&#xA0; no animal testing an no animal ingredients&lt;/DIV&gt;&lt;/LI&gt;&lt;/UL&gt;&lt;/P&gt;
B00008J2XQ				This unique, non-greasy and fragrance free hand cream is specially formulated with ntense Relief Hand Cream and rich emollients to help heal dry skin and form a protective glove against the elements. Unlike ordinary hand creams, Aveeno Intense Relief Hand Cream protects and moisturizes skin for 24 hours and even lasts through hand washing.
B000093I60				Feel Clean and Refreshed in Minutes.Leaves skin clean, refreshed and odor-free.Concentrated, makes 16 complete baths.Absolutely no rinsing necessary.Excellent perineal cleanser.Contains no alcohol - Means no dryness.Gentle on sensitive skin.Use full strength as a liquid soap.Fast, Easy and Convenient Alternative to Traditional Bathing.Provides a warm, comfortable patient friendly bathing alternative.Easier on the care giver.Eliminates slip &amp; fall incidents.Less bathing time required.Reduces laundry &amp; linen cost.Whenever lack of facilities, physical limitation, discomfort or merely fear of bathing occur,No Rinse Body Bathis the solution. It is a companion product of the originalNo Rinse Shampoo, approved by thousands of hospitals.Used by NASA astronauts on all space shuttle flights.100% Satisfaction guaranteed.Made in USA.
