id	abstract_input_ids	abstract_token_type_ids	abstract_attention_mask
9759091062	[101, 1996, 1060, 7913, 4168, 28101, 2063, 4408, 7406, 21500, 2003, 1037, 16834, 1998, 8279, 5675, 2881, 2000, 6162, 1037, 2062, 23751, 1998, 25567, 3096, 4309, 1012, 2023, 21500, 6464, 11027, 2015, 2304, 13038, 1998, 25536, 9353, 2638, 1010, 7694, 1037, 24509, 28838, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000052YJD	[101, 10449, 1996, 13268, 25742, 1010, 2881, 4919, 2005, 7591, 3096, 1012, 2023, 25742, 3640, 1037, 16030, 4550, 3366, 1998, 25416, 21898, 2229, 2115, 3096, 2006, 1037, 3679, 3978, 1012, 2009, 2003, 3819, 2005, 2224, 2007, 2115, 5440, 4550, 8043, 1012, 5678, 1010, 2009, 4240, 2004, 1996, 7812, 7547, 2005, 3103, 3238, 9092, 5582, 1010, 2975, 2115, 3096, 3110, 4550, 1998, 2128, 9103, 8159, 4383, 1012, 2017, 2064, 2036, 2224, 2009, 2007, 2115, 6871, 7815, 2030, 4550, 8043, 1012, 1996, 25742, 6464, 20362, 4318, 1998, 10634, 2075, 3096, 4442, 1010, 2096, 5251, 26799, 2185, 5789, 1010, 6900, 1010, 1998, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
B000052YMX	[101, 2023, 2227, 6949, 2003, 3811, 6749, 2011, 4315, 18900, 16886, 1012, 2009, 3397, 6887, 2891, 8458, 10893, 23267, 2015, 2008, 6464, 9239, 1998, 7969, 1996, 3019, 14098, 5703, 1999, 4318, 1998, 7591, 3096, 1012, 1996, 20219, 1997, 3375, 2321, 17261, 11052, 9496, 6774, 2227, 6949, 2003, 2881, 4919, 2005, 2216, 2007, 10256, 2000, 5729, 4318, 3096, 1010, 2635, 7780, 2013, 3267, 1012, 2009, 2950, 3393, 26243, 10606, 1010, 1037, 2300, 1011, 8031, 4005, 5173, 2013, 6887, 2891, 8458, 10893, 23267, 2015, 2008, 2024, 8100, 2556, 1999, 1996, 3096, 1012, 1996, 6949, 2003, 2512, 1011, 26484, 1998, 16888, 2015, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
B000052ZTY	[101, 3107, 1999, 2786, 1010, 2023, 24980, 2838, 3964, 1997, 5249, 1010, 4840, 20418, 1010, 1998, 25482, 3727, 1012, 2009, 2003, 6749, 2005, 12217, 2224, 1012, 2043, 11243, 2151, 24980, 1010, 2009, 2003, 2590, 2000, 5136, 2008, 2536, 5876, 2064, 3747, 1996, 2126, 2009, 14747, 2006, 2115, 3096, 1012, 2122, 5876, 2421, 2115, 6888, 1010, 6911, 2504, 1010, 2287, 1010, 2303, 6370, 1010, 8738, 1010, 1998, 2783, 20992, 1012, 5678, 1010, 1996, 4650, 1997, 2115, 3096, 1010, 3251, 2009, 2003, 4318, 2030, 3514, 2100, 1010, 2064, 2036, 4254, 2129, 2146, 1996, 24980, 2097, 2197, 2044, 4646, 1012, 102, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]
B00005304H	[101, 1026, 1052, 1028, 1053, 1011, 10247, 6557, 25430, 7875, 2015, 2031, 2062, 3730, 6557, 2012, 1996, 5955, 1008, 2084, 2151, 2060, 25430, 7875, 1012, 2081, 2007, 2531, 1003, 5760, 6557, 1010, 2122, 25430, 7875, 2015, 2024, 7132, 1998, 4621, 1012, 1996, 3813, 3259, 6293, 3957, 2104, 3778, 1010, 1998, 1996, 6557, 2003, 28999, 4987, 2007, 1037, 2569, 4748, 21579, 1012, 1026, 1013, 1052, 1028, 1026, 1052, 1028, 2025, 2074, 2005, 5551, 1010, 1053, 1011, 10247, 6557, 25430, 7875, 2015, 2024, 22979, 1998, 7218, 2005, 1996, 2878, 2155, 1012, 2027, 2064, 2022, 2109, 2005, 11243, 1998, 9268, 5789, 1010, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
B0000531II	[101, 6162, 1037, 9879, 1010, 12342, 1011, 2489, 3311, 2802, 1996, 2154, 2007, 2256, 3514, 2491, 6065, 9898, 1012, 2023, 9898, 2003, 2531, 1003, 3514, 1011, 2489, 1010, 12725, 1037, 4840, 1998, 27503, 2298, 1012, 5454, 2013, 2256, 2422, 1998, 5396, 13178, 2000, 2424, 2115, 3819, 2674, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B0000531NU	[101, 6162, 7107, 6420, 1996, 3872, 2007, 7496, 1012, 3325, 2035, 1011, 2154, 4929, 2302, 2151, 18856, 24237, 2015, 2030, 1043, 4135, 5910, 1012, 2256, 16719, 3424, 1011, 18856, 24237, 8248, 21312, 1037, 27503, 4646, 1012, 2717, 8916, 1010, 2256, 5675, 2003, 3647, 2005, 3967, 10014, 4929, 2545, 1012, 5285, 2819, 1005, 4671, 4107, 1037, 2146, 1011, 9879, 2300, 18907, 5675, 2008, 29483, 16473, 2039, 2000, 6420, 1996, 25210, 3872, 1012, 2360, 9119, 2000, 18856, 24237, 2015, 1998, 1043, 4135, 5910, 2004, 2256, 3872, 1011, 2311, 2300, 18907, 5675, 1010, 4117, 2007, 1996, 9525, 16719, 3424, 1011, 18856, 24237, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
B000089SA4	[101, 16012, 3207, 16307, 3085, 1010, 1044, 22571, 2080, 1011, 2035, 2121, 16505, 1010, 18186, 2489, 1012, 2339, 5454, 1043, 2135, 17119, 2378, 7815, 1029, 1043, 2135, 17119, 2378, 2003, 1037, 3019, 20368, 25572, 3372, 2008, 17771, 14098, 2046, 1996, 3096, 1010, 2975, 2009, 4550, 6924, 2302, 23217, 2075, 1996, 10059, 6887, 5703, 4072, 2005, 3730, 1998, 7965, 3096, 1012, 4415, 3019, 1043, 2135, 17119, 2378, 3688, 2024, 1024, 1011, 2081, 2013, 2531, 1003, 15415, 1043, 2135, 17119, 2378, 1011, 1044, 22571, 2080, 1011, 2035, 2121, 16505, 2005, 7591, 3096, 1011, 6749, 2011, 4315, 18900, 16886, 1011, 3605, 1997, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
B00008J2XQ	[101, 2256, 11974, 19788, 2192, 6949, 2003, 4406, 2151, 2060, 1012, 2009, 2003, 2512, 1011, 26484, 1010, 24980, 1011, 2489, 1010, 1998, 3640, 6387, 4335, 2005, 4318, 3096, 1012, 8966, 2007, 4138, 7861, 14511, 11638, 2015, 1010, 2009, 9005, 1037, 9474, 8803, 2114, 8401, 3787, 1012, 13642, 16515, 6387, 4335, 2192, 6949, 3632, 3458, 6623, 2192, 6949, 2015, 2011, 4346, 2484, 1011, 3178, 14098, 1998, 2130, 9879, 2083, 2192, 12699, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000093I60	[101, 3325, 1037, 27150, 4550, 1999, 2781, 1012, 2256, 4031, 3727, 2115, 3096, 3110, 4550, 1010, 25416, 21898, 2098, 1010, 1998, 2489, 2013, 19255, 2015, 1012, 2007, 2049, 8279, 5675, 1010, 2017, 2064, 5959, 2385, 3143, 19692, 1012, 2053, 15544, 3619, 2075, 3223, 1010, 7494, 2017, 2051, 1998, 3947, 1012, 2256, 2566, 3170, 2389, 4550, 8043, 2003, 6544, 1011, 2489, 1010, 12725, 2053, 4318, 2791, 1012, 2009, 2003, 7132, 2006, 7591, 3096, 1998, 2064, 2022, 2109, 2004, 1037, 6381, 7815, 2012, 2440, 3997, 1012, 2360, 9119, 2000, 3151, 17573, 2007, 2256, 3435, 1010, 3733, 1010, 1998, 14057, 4522, 1012, 102]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
