id	abstract_input_ids	abstract_token_type_ids	abstract_attention_mask
9759091062	[101, 1060, 7913, 4168, 28101, 2063, 4408, 7406, 21500, 2003, 1037, 3811, 8279, 5675, 2881, 2000, 6162, 1037, 24509, 1998, 16176, 28838, 1012, 2049, 3928, 5675, 6464, 20362, 2304, 13038, 1998, 25536, 9353, 2638, 1010, 2975, 1996, 3096, 2559, 5744, 2121, 1998, 2062, 23751, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000052YJD	[101, 2028, 13268, 25742, 2005, 3679, 26799, 1997, 7591, 3096, 15222, 2015, 25742, 2003, 2881, 2005, 3679, 26799, 1997, 7591, 3096, 1010, 12246, 9344, 1998, 27150, 1996, 3096, 1012, 2009, 2064, 2022, 2109, 2007, 2115, 5440, 4550, 8043, 1998, 2003, 3819, 2005, 8225, 1996, 3096, 2005, 3103, 3238, 9092, 5582, 1012, 1996, 25742, 5251, 4550, 8583, 2185, 5789, 1010, 6900, 1010, 1998, 9987, 3514, 1010, 2975, 1996, 3096, 5744, 1998, 3730, 1012, 4315, 18900, 6779, 1011, 7718, 2005, 7132, 2791, 1010, 2023, 25742, 2003, 7218, 2005, 2035, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000052YMX	[101, 4315, 18900, 8662, 1011, 6749, 1998, 19788, 2000, 23150, 1996, 3096, 1005, 1055, 3019, 14098, 5703, 1010, 2256, 17261, 11052, 9496, 6774, 2227, 6949, 2003, 1037, 2208, 1011, 2689, 2099, 2005, 4318, 1010, 7591, 3096, 1012, 2007, 1996, 2373, 1997, 6887, 2891, 8458, 10893, 23267, 2015, 1010, 2029, 2024, 8100, 2179, 1999, 1996, 3096, 1010, 2023, 6949, 7126, 2000, 5843, 1999, 14098, 1998, 3073, 2146, 1011, 9879, 26018, 3508, 1012, 4606, 1010, 2049, 2512, 1011, 26484, 1998, 4248, 1011, 20998, 5675, 3084, 2009, 3819, 2005, 10126, 2224, 1012, 4895, 27654, 2098, 1998, 102, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]
B000052ZTY	[101, 3107, 1999, 2786, 1010, 2023, 24980, 2838, 3964, 1997, 5249, 1010, 4840, 20418, 1010, 1998, 25482, 3727, 1012, 2009, 2003, 6749, 2005, 12217, 2224, 1010, 1998, 2009, 1005, 1055, 2590, 2000, 5136, 2129, 2536, 5876, 2064, 7461, 1996, 2126, 1037, 6518, 14747, 2006, 2115, 3096, 1012, 2122, 5876, 2421, 2115, 6888, 1010, 6911, 2504, 1010, 2287, 1010, 2303, 6370, 1010, 8738, 1010, 1998, 2783, 20992, 1010, 2004, 2092, 2004, 4318, 2030, 3514, 2100, 3096, 1010, 2029, 2064, 4254, 1996, 24980, 1005, 1055, 26906, 2044, 4646, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B00005304H	[101, 2062, 6557, 2012, 1996, 5955, 2084, 2151, 2060, 25430, 7875, 1012, 2844, 1998, 7132, 6557, 25430, 7875, 2015, 2081, 2007, 2531, 1003, 5760, 6557, 1010, 4346, 2062, 3730, 6557, 2012, 1996, 5955, 2084, 2151, 2060, 25430, 7875, 1012, 1996, 3813, 3259, 6293, 3957, 5251, 2104, 3778, 1010, 2096, 1037, 2569, 4748, 21579, 5851, 2015, 1996, 6557, 2000, 1996, 6293, 1012, 7812, 2005, 1996, 2878, 2155, 1010, 1998, 2025, 2074, 2005, 5551, 1012, 6611, 1998, 6366, 5789, 2030, 3543, 2039, 1037, 23624, 23887, 1012, 7132, 2438, 2000, 2729, 2005, 20662, 10834, 1012, 102, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]
B0000531II	[101, 1037, 12038, 1010, 3514, 1011, 2489, 9898, 2005, 1037, 3019, 1010, 2053, 1011, 12342, 3926, 2008, 16180, 2035, 2154, 1012, 19788, 2007, 2531, 1003, 3514, 1011, 20998, 12760, 1010, 2023, 9898, 2003, 2800, 1999, 2119, 2422, 1998, 5396, 13178, 2005, 7661, 21335, 3468, 6325, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B0000531NU	[101, 6880, 6420, 2115, 25210, 3872, 2007, 2256, 2146, 1011, 9879, 1010, 2300, 18907, 5675, 1012, 1996, 16719, 3424, 1011, 18856, 24237, 8248, 21312, 2053, 18856, 24237, 2015, 2030, 1043, 4135, 5910, 1010, 2437, 2009, 3647, 2005, 3967, 10014, 4929, 2545, 1012, 1996, 5675, 16473, 2039, 25210, 3872, 2005, 1037, 6918, 2298, 2008, 16180, 2035, 2154, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000089SA4	[101, 2339, 5454, 1043, 2135, 17119, 2378, 7815, 1029, 1043, 2135, 17119, 2378, 2003, 1037, 3019, 20368, 25572, 3372, 2008, 9891, 14098, 2046, 1996, 3096, 1010, 26799, 2302, 23217, 2075, 1996, 3096, 1005, 1055, 10059, 6887, 5703, 1012, 2256, 3688, 2024, 2081, 2007, 2531, 1003, 15415, 1043, 2135, 17119, 2378, 1010, 2024, 1044, 22571, 2080, 1011, 2035, 2121, 16505, 2005, 7591, 3096, 1010, 1998, 2024, 6749, 2011, 4315, 18900, 16886, 1012, 2027, 2024, 2036, 3294, 16012, 3207, 16307, 3085, 1998, 2489, 1997, 4111, 12760, 1998, 5604, 1012, 2256, 3688, 3073, 1037, 6020, 19219, 7741, 2895, 1998, 2197, 102, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]
B00008J2XQ	[101, 2023, 9525, 2192, 6949, 4107, 2146, 1011, 9879, 14098, 1998, 3860, 2005, 4318, 3096, 1010, 2302, 2975, 1037, 26484, 21755, 1012, 11974, 19788, 2007, 23961, 16700, 4335, 2192, 6949, 1998, 4138, 7861, 14511, 11638, 2015, 1010, 2023, 4031, 9005, 1037, 8803, 2114, 4483, 6911, 5668, 1010, 4346, 2484, 1011, 3178, 26018, 3508, 1998, 19319, 2075, 2130, 2192, 12699, 1012, 4406, 2060, 2192, 6949, 2015, 1010, 13642, 16515, 6387, 4335, 2192, 6949, 18058, 8760, 4335, 1998, 2729, 2005, 1996, 2398, 1010, 2975, 2068, 3730, 1998, 10514, 9397, 2571, 1012, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B000093I60	[101, 6880, 2681, 2115, 3096, 3110, 4550, 1010, 25416, 21898, 2098, 1010, 1998, 19255, 1011, 2489, 1999, 2781, 1012, 2256, 8279, 5675, 3084, 2385, 3143, 19692, 2302, 2151, 15544, 3619, 2075, 3223, 1010, 12725, 1037, 16030, 1998, 14057, 4550, 3366, 1012, 7132, 2006, 7591, 3096, 1998, 6544, 1011, 2489, 1010, 2023, 2303, 7198, 3640, 2019, 6581, 2566, 3170, 2389, 4550, 8043, 1012, 2049, 3435, 1010, 3733, 1010, 1998, 2038, 25016, 1011, 2489, 4522, 2000, 3151, 17573, 4107, 1037, 4010, 1010, 6625, 1010, 1998, 5776, 1011, 5379, 3325, 1012, 2360, 9119, 2000, 7540, 1998, 2991, 10444, 1010, 5547, 7198, 102, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
