event,loop_epoch,epoch,loss,llm_ratio
train_loss,,1,3.4080498218536377,
loop_epoch,1,,,
llm_ratio,1,,,0.6
train_loss,1,1,3.3643991947174072,
loop_epoch,2,,,
llm_ratio,2,,,0.4666666666666667
train_loss,2,1,4.8005876541137695,
loop_epoch,3,,,
llm_ratio,3,,,0.26666666666666666
train_loss,3,1,3.578911542892456,
loop_epoch,4,,,
llm_ratio,4,,,0.6
train_loss,4,1,6.010769367218018,
loop_epoch,5,,,
llm_ratio,5,,,0.4666666666666667
train_loss,5,1,3.1324832439422607,
loop_epoch,6,,,
llm_ratio,6,,,0.6
train_loss,6,1,5.060715675354004,
loop_epoch,7,,,
llm_ratio,7,,,0.4666666666666667
train_loss,7,1,3.225952386856079,
loop_epoch,8,,,
llm_ratio,8,,,0.6
train_loss,8,1,5.18524694442749,
loop_epoch,9,,,
llm_ratio,9,,,0.4666666666666667
train_loss,9,1,3.578911542892456,
loop_epoch,10,,,
llm_ratio,10,,,0.6
